CAR_ID,FAILURE_TYPE,ENGINE_RUN_TIME,ENGINE_RPM,VEHICLE_SPEED,THROTTLE,ENGINE_LOAD,COOLANT_TEMPERATURE,LONG_TERM_FUEL_TRIM_BANK_1,SHORT_TERM_FUEL_TRIM_BANK_1,INTAKE_MANIFOLD_PRESSURE,FUEL_TANK,ABSOLUTE_THROTTLE_B,PEDAL_D,PEDAL_E,COMMANDED_THROTTLE_ACTUATOR,FUEL_AIR_COMMANDED_EQUIV_RATIO,ABSOLUTE_BAROMETRIC_PRESSURE,RELATIVE_THROTTLE_POSITION,INTAKE_AIR_TEMP,TIMING_ADVANCE,CATALYST_TEMPERATURE_BANK1_SENSOR1,CATALYST_TEMPERATURE_BANK1_SENSOR2,CONTROL_MODULE_VOLTAGE,COMMANDED_EVAPORATIVE_PURGE
36A77F84,Throttle Body Fault,5497.7,1548.0,0.0,0.0,30.197,79.8,2.34408,-11.88398,83.566,40.613,73.291,21.195,32.342,32.137,0.992,101.994,2.717,45.2,24.38,452.126,472.691,13.802,0.0
8B249178,O2 Sensor Failure,5296.3,1355.5,30.4,17.157,11.092,79.3,20.73407,30.07513,27.439,35.479,51.698,20.241,33.481,17.748,0.863,100.172,0.415,30.0,5.265,513.876,319.783,13.698,18.32
511D7398,Thermostat Stuck Open,2984.3,869.8,52.1,17.443,35.879,50.3,-4.92486,-15.09979,60.817,45.551,51.016,19.918,38.117,20.909,1.106,100.984,0.0,40.7,15.171,430.262,297.86,13.732,17.891
93E8032C,Engine Overheating,5406.4,1952.0,60.7,17.012,30.188,139.6,1.23905,-5.13199,47.095,41.359,55.276,21.492,38.454,19.659,1.139,100.959,2.092,44.2,-5.384,590.119,412.476,13.714,0.0
F36BBA87,Healthy,1870.1,1213.8,40.6,19.143,17.348,82.9,3.78929,0.81842,46.743,49.628,52.138,22.247,35.447,17.794,1.008,101.545,3.035,45.6,3.874,523.402,290.949,13.793,68.773
A2BF7CBA,MAP Sensor Failure,505.1,1425.9,0.0,18.122,17.234,91.0,14.24819,15.78655,16.715,38.378,49.314,19.131,31.765,16.369,0.99,100.15,0.282,31.2,26.168,585.132,333.733,13.474,0.0
DA53D9B6,Catalytic Converter Failure,4827.6,1541.2,14.4,18.425,55.132,78.3,2.08466,3.32752,25.76,82.52,56.412,16.078,32.245,19.837,1.005,100.617,2.782,47.6,8.208,449.148,434.65,13.679,10.589
61D1241C,Throttle Body Fault,6472.6,1463.1,30.3,58.031,29.617,81.9,1.88309,-9.55878,18.0,89.412,23.389,17.071,40.846,33.848,0.989,101.224,0.0,42.0,23.43,393.899,316.383,13.617,43.033
1C580D2A,O2 Sensor Failure,2191.3,1340.4,32.8,21.744,42.757,71.4,16.15756,36.76467,18.771,89.412,61.158,16.078,40.278,16.333,0.862,101.081,0.0,46.7,6.7,547.281,346.101,13.617,53.173
981B5D06,Engine Overheating,2509.9,769.0,6.9,19.057,20.503,144.8,4.01374,5.43984,41.853,63.057,50.724,17.284,36.456,17.954,1.132,100.157,0.0,35.6,3.526,582.258,406.974,13.64,63.651
